dim0,dim1,dim2,dim3,y
,-0.94981,-1.0731,0.3211,1.0
1.5904,,,-0.11725,1.0
,3.6833,,-1.7207,1.0
-0.23356,3.2405,-3.0669,-2.7784,1.0
-3.6227,3.9958,-0.35845,-3.9047,1.0
-6.1536,7.9295,0.61663,-3.2646,1.0
-3.9172,,0.78886,-0.7819,1.0
-2.2214,-0.23798,0.56008,,1.0
-0.49241,0.89392,-1.6283,,1.0
,2.4066,,-0.59958,1.0
-0.10234,,,-0.56725,1.0
,1.0926,-0.35502,-0.59958,1.0
-1.8448,1.254,0.27218,-1.0728,1.0
-1.2786,-2.4087,4.5735,,1.0
-2.902,,11.8318,-0.84268,1.0
-4.3773,-5.5167,10.939,-0.4082,1.0
-2.0529,3.8385,,-1.2138,1.0
,0.70148,-0.51182,,1.0
-1.7279,-6.841,,0.68058,1.0
-3.3793,,17.9274,-2.0323,1.0
,-7.1121,11.3897,-0.083634,1.0
,,1.949,1.353,1.0
-1.7697,3.4329,,-2.3789,1.0
-0.0012852,0.13863,-0.19651,0.0081754,1.0
,,7.1398,1.3323,1.0
-3.4917,-12.1736,14.3689,-0.61639,1.0
-3.1158,,10.4403,0.97153,1.0
-2.0891,-0.48422,1.704,1.7435,1.0
-1.6936,2.7852,-2.1835,-1.9276,1.0
,3.2715,-1.7671,,1.0
-0.092194,0.39315,-0.32846,-0.13794,1.0
,-6.3879,,0.79955,1.0
-2.2083,-9.1069,8.9991,-0.28406,1.0
-1.0744,-6.3113,5.355,0.80472,1.0
-0.51003,-0.23591,0.020273,,1.0
-0.36372,3.0439,,-2.7836,1.0
-6.3979,6.4479,1.0836,-6.6176,1.0
-2.2501,3.3129,-0.88369,-2.8974,1.0
-1.1859,,2.2635,0.77239,1.0
-1.8076,-8.8131,,-0.21682,1.0
-3.3863,,13.0545,-2.7202,1.0
-1.4106,,,0.31335,1.0
,-0.68287,0.096532,,1.0
,3.5674,-4.3882,-3.8116,1.0
-3.8167,5.1401,-0.65063,-5.4306,1.0
-1.9555,0.20692,,,1.0
-2.1786,-6.4479,6.0344,-0.20777,1.0
-2.3299,,8.4756,-1.8733,1.0
0.0031201,,1.7956,0.91722,1.0
1.3518,1.0595,,0.39998,1.0
1.2309,3.8923,-4.8277,-4.0069,1.0
,7.5032,,-7.5034,1.0
-3.0799,,2.7039,-0.23751,1.0
-2.2987,-5.227,5.63,0.91722,1.0
,-6.541,4.8151,-0.033204,1.0
,,-1.6506,0.83834,1.0
,4.2068,-4.5398,-2.3931,1.0
0.63655,5.2022,-5.2159,-6.1211,1.0
-6.0598,9.2952,,-6.3694,1.0
-3.518,2.8763,0.1548,-1.2086,1.0
,,1.1582,0.36507,1.0
-0.69745,,-0.34474,,1.0
0.75108,,-3.1098,-0.20518,1.0
,3.4826,-3.6307,,1.0
,3.2136,-3.3085,-2.7965,1.0
-3.6817,3.2239,-0.69347,-3.4004,1.0
-6.7526,8.8172,,,1.0
-4.577,3.4515,0.66719,-0.94742,1.0
-2.9883,0.31245,,,1.0
-1.4781,,-1.1622,-0.48579,1.0
-0.46651,,-2.9812,-1.0431,1.0
-0.8734,1.6533,-2.1964,-0.78061,1.0
-2.1234,1.1815,-0.55552,,1.0
-2.3142,2.0838,-0.46813,-1.6767,1.0
-1.4233,,2.3586,0.39481,1.0
-3.0866,-6.6362,10.5405,-0.89182,1.0
,-6.1789,,-1.0741,1.0
,3.8964,-0.1888,-1.1672,1.0
-0.036127,1.525,-1.4089,-0.76121,1.0
-1.7104,-4.778,6.2109,,1.0
-3.8203,-13.0551,16.9583,-2.3052,1.0
,-8.5089,12.363,-0.95518,1.0
-2.899,-0.60424,2.6045,1.3776,1.0
-0.98193,2.7956,-1.2341,-1.5668,1.0
-0.17296,,1.3818,0.7336,1.0
-1.9409,-8.6848,9.155,,1.0
-3.5713,-12.4922,14.8881,-0.47027,1.0
-2.9915,-6.6258,8.6521,,1.0
-1.8483,,0.77344,,1.0
-2.2677,,,-2.4642,1.0
-0.50816,2.868,-1.8108,-2.2612,1.0
,-1.0885,,0.48791,1.0
-0.90784,-7.9026,6.7807,0.34179,1.0
,-9.3676,9.3333,-0.10303,1.0
,-5.1008,4.5367,,1.0
-0.40804,0.54214,-0.52725,0.6586,1.0
,3.3812,-3.6684,,1.0
-4.8392,6.6755,-0.24278,-6.5775,1.0
,2.1376,-0.47584,-1.3974,1.0
-0.66008,-3.226,3.8058,1.1836,1.0
-1.7713,-10.7665,10.2184,,1.0
,-12.2377,,-2.1603,1.0
-1.1022,-5.8395,4.5641,,1.0
0.11806,,,0.42843,1.0
,3.735,-4.4379,,1.0
-2.7264,3.9213,-0.49212,-3.6371,1.0
-1.2369,-1.6906,2.518,0.51636,1.0
-1.8439,-8.6475,7.6796,,1.0
-1.8554,-9.6035,7.7764,,1.0
0.16358,-3.3584,,1.3569,1.0
,1.9596,-3.0584,,1.0
,4.1199,,-4.1414,1.0
-3.9934,,0.54723,-4.9379,1.0
-2.3898,-0.78427,3.0141,0.76205,1.0
-1.7976,,6.6753,0.89912,1.0
-0.70867,,4.0483,0.903,1.0
,1.1029,-2.3,,1.0
1.7875,,,-3.2362,1.0
0.27331,4.8773,-4.9194,-5.8198,1.0
-5.1661,8.0433,0.044265,-4.4983,1.0
-2.7028,1.6327,0.83598,-0.091393,1.0
-1.4904,,1.6054,,1.0
-0.014902,-1.0243,-0.94024,0.64955,1.0
,2.2638,-3.1046,,1.0
1.0637,3.6957,-4.1594,,1.0
,3.1329,,-2.9388,1.0
,4.0289,-0.35845,,1.0
-5.8818,7.6584,,-2.9155,1.0
,2.5162,,-0.30993,1.0
-2.4198,-0.24418,0.70146,0.41809,1.0
-0.83535,0.80494,-1.6411,,1.0
-0.30432,2.6528,,-0.65647,1.0
,1.7237,,-0.77027,1.0
-2.1059,1.1815,-0.53324,-0.82716,1.0
-2.0441,1.2271,0.18564,-1.091,1.0
,-2.2121,4.2591,,1.0
-3.2305,-7.2135,11.6433,-0.94613,1.0
-4.8426,,10.4052,-0.53104,1.0
-2.3147,,-0.6969,,1.0
-0.11716,0.60422,,,1.0
,-6.719,9.0162,0.099985,1.0
-3.6961,,17.5795,-2.6181,1.0
-3.6012,,10.5234,,1.0
-2.6286,0.18002,,0.97282,1.0
-0.82601,,-1.2864,,1.0
0.31803,-0.99326,,,1.0
-1.4454,-8.4385,,0.96894,1.0
-3.1423,-13.0365,15.6773,,1.0
-2.5373,-6.959,8.8054,,1.0
-1.366,0.18416,0.90539,1.5806,1.0
-1.7064,,-2.2829,-2.1978,1.0
,2.9094,-1.7859,-2.2069,1.0
0.37637,,,0.74524,1.0
,-7.9233,6.7156,0.74394,1.0
-1.6001,-9.5828,,0.081882,1.0
-0.37013,-5.554,4.7749,1.547,1.0
0.12126,,-0.47327,0.97024,1.0
,3.2674,-3.5562,-3.0888,1.0
-5.119,,-0.049987,-6.5206,1.0
-1.3946,2.3134,-0.44499,-1.4905,1.0
-0.69879,-3.3771,4.1211,1.5043,1.0
,-10.5244,9.9176,-0.5026,1.0
,-12.813,12.6689,-1.9082,1.0
-0.62684,,4.7843,1.106,1.0
0.518,0.25865,-0.84085,0.96118,1.0
0.64376,3.764,-4.4738,-4.0483,1.0
-2.9821,4.1986,-0.5898,,1.0
-1.4628,-1.5706,,0.49826,1.0
-1.7101,-8.7903,,-0.45475,1.0
-1.5572,,8.1088,,1.0
,-3.7723,1.6131,1.5754,1.0
2.0177,,-2.9581,,1.0
1.164,3.913,-4.5544,,1.0
-4.3667,6.0692,,-5.4668,1.0
-2.5919,,3.8949,0.77757,1.0
-1.8046,-6.8141,6.7019,1.1681,1.0
-0.71868,,,1.0233,1.0
1.4378,0.66837,,1.0271,1.0
,4.5503,-4.976,,1.0
0.7376,,-4.7986,-5.6659,1.0
-5.637,8.1261,0.13081,,1.0
-3.0193,1.7775,,-0.45346,1.0
-1.6706,-2.09,1.584,,1.0
-0.1269,,-0.95138,0.57843,1.0
1.2198,2.0982,-3.1954,,1.0
1.4501,3.6067,-4.0557,-1.5966,1.0
,3.0977,-2.9607,-2.6892,1.0
-3.8952,3.8157,-0.31304,,1.0
-6.3679,8.0102,0.4247,-3.2207,1.0
-4.1429,2.7749,,-0.71984,1.0
-2.6864,-0.097265,0.61663,0.061192,1.0
-1.0555,0.79459,-1.6968,-0.46768,1.0
-0.29858,,-2.9512,-0.66165,1.0
-0.49948,1.7734,-2.2469,-0.68104,1.0
-1.9881,0.99945,-0.28562,,1.0
-1.9389,,0.045979,-1.122,1.0
-1.4375,-1.8624,4.026,,1.0
,,11.8678,-0.57889,1.0
,-5.6636,10.969,-0.33449,1.0
,3.8468,-0.63435,-1.175,1.0
0.26637,,-0.67891,0.03533,1.0
-1.7589,-6.4624,,0.31981,1.0
,-13.6593,,-2.4927,1.0
-3.3582,-7.2404,11.4419,-0.57113,1.0
-2.3629,-0.10554,1.9336,1.1358,1.0
,3.3791,-1.2256,-2.6621,1.0
,-0.15521,,-0.088807,1.0
-2.2918,-7.257,,0.9211,1.0
-4.0214,-12.8006,,-0.95647,1.0
-3.3884,,10.3315,0.98187,1.0
-2.0046,,1.333,1.6543,1.0
,2.7956,-2.378,-2.3491,1.0
-1.6386,3.3584,,-3.5646,1.0
-0.41645,0.32487,-0.33617,,1.0
-1.5877,-6.6072,5.8022,0.31593,1.0
-2.5961,-9.349,,,1.0
-1.5228,-6.4789,5.7568,0.87325,1.0
-0.53072,-0.097265,,1.0426,1.0
,,-3.6436,-3.1004,1.0
-6.5773,6.8017,,-7.5344,1.0
,2.7645,-0.62578,-2.8573,1.0
-1.3995,-1.9162,2.5154,0.59912,1.0
-2.3221,-9.3304,,,1.0
-3.73,-12.9723,,-2.684,1.0
-1.6988,-7.1163,5.7902,0.16723,1.0
-0.26654,-0.64562,,0.89136,1.0
,3.3108,-4.5081,-4.012,1.0
,4.7283,-0.49126,-5.2159,1.0
,,1.9833,-0.44829,1.0
,,6.8964,-0.64484,1.0
-2.7611,-10.5099,,-1.9547,1.0
-0.36025,-4.449,2.1067,0.94308,1.0
1.0117,0.9022,-2.3506,0.42714,1.0
,3.8426,,-4.1323,1.0
-5.2049,,0.070827,-7.3004,1.0
-3.3203,-0.02691,2.9618,-0.44958,1.0
-2.565,,6.0122,,1.0
,-6.572,4.7689,,1.0
0.7049,0.17174,,0.36119,1.0
1.7331,3.9544,-4.7412,-2.5017,1.0
0.6818,4.8504,,-6.1043,1.0
-6.3364,9.2848,0.014275,-6.7844,1.0
-3.8053,2.4273,0.6809,-1.0871,1.0
-2.1979,-2.1252,,0.45171,1.0
-0.87874,-2.2121,-0.051701,,1.0
0.74067,1.7299,-3.1963,-0.1457,1.0
0.98296,3.4226,-3.9692,-1.7116,1.0
-0.3489,,-3.4054,,1.0
,3.5219,-0.38415,,1.0
-6.9599,8.9931,0.2182,-4.572,1.0
-4.7462,,,-1.2966,1.0
-3.2051,,0.97565,0.045675,1.0
-1.7549,,-0.75774,,1.0
-0.59587,,-2.8673,-0.89828,1.0
-0.89542,2.0279,-2.3652,-1.2746,1.0
-2.0754,1.2767,-0.64206,-1.2642,1.0
-3.2778,1.8023,0.1805,-2.3931,1.0
-2.2183,-1.254,2.9986,,1.0
-3.5895,-6.572,10.5251,,1.0
,-5.8023,11.244,-0.3901,1.0
-3.5741,3.944,-0.07912,,1.0
-0.7351,1.7361,-1.4938,-1.1582,1.0
-2.2617,-4.7428,6.3489,0.11162,1.0
-4.244,-13.0634,17.1116,-2.8017,1.0
-4.0218,-8.304,,,1.0
,-0.67253,,0.85774,1.0
-2.4941,,-1.3721,,1.0
-0.83121,0.039307,,,1.0
-2.5665,,7.5416,0.70774,1.0
-4.4018,-12.9371,,-1.6806,1.0
-3.7573,,,0.38059,1.0
-2.4725,-0.40145,1.4855,1.1189,1.0
-1.9725,,-2.3086,-2.3724,1.0
-2.0149,3.6874,,,1.0
,,-0.48869,-0.52716,1.0
-1.7886,-6.3486,,0.42584,1.0
-2.9138,-9.4711,9.7668,-0.60216,1.0
,-6.5907,,0.54998,1.0
,,-0.20165,0.55774,1.0
-0.70346,2.957,,,1.0
-6.7387,6.9879,0.67833,-7.5887,1.0
-2.7723,,-0.9351,-3.1457,1.0
-1.6641,-1.3678,1.997,0.52283,1.0
,-9.2497,8.9922,-0.50001,1.0
-3.793,-12.7095,12.7957,-2.825,1.0
,-6.9756,,-0.12889,1.0
-0.69078,,-0.35417,0.47498,1.0
,3.3998,-4.4327,-4.2655,1.0
-4.3967,4.9601,,-5.4719,1.0
-2.456,-0.24418,1.4041,-0.45863,1.0
,-6.8555,6.2169,-0.62285,1.0
-2.9662,-10.3257,8.784,-2.1138,1.0
-0.71494,-4.4448,,0.49826,1.0
,,-2.2126,0.097399,1.0
0.61652,,-4.7275,-4.3948,1.0
,7.2363,0.10938,,1.0
-3.5798,0.45937,2.3457,-0.45734,1.0
-2.7769,-5.6967,5.9179,0.37671,1.0
-1.8356,-6.7562,5.0585,-0.55044,1.0
,,-1.7542,0.48921,1.0
,4.1323,-4.7018,-2.5987,1.0
0.26877,4.987,,-6.3913,1.0
-6.5235,9.6014,-0.25392,-6.9642,1.0
,,0.79571,-1.1039,1.0
,-1.7051,1.5026,0.32757,1.0
-1.3414,-1.9162,-0.15538,-0.11984,1.0
,2.0879,-3.3522,-0.66553,1.0
0.6212,,-4.0771,-2.0711,1.0
-0.77848,3.4019,,-3.5569,1.0
-4.1244,,,-4.1802,1.0
,9.2,0.25933,-4.6832,1.0
,,0.82742,-1.4957,1.0
-3.5359,0.30417,,,1.0
-2.0662,0.16967,,,1.0
-0.88728,2.808,-3.1432,-1.2035,1.0
-1.0941,2.3072,,-1.4453,1.0
,1.6285,-0.88541,-1.4802,1.0
,,0.1865,-2.4409,1.0
-2.2811,-0.85669,2.7185,,1.0
-3.6053,-5.974,10.0916,-0.82846,1.0
-5.0676,-5.1877,10.4266,-0.86725,1.0
-3.9204,,-0.23678,,1.0
-1.1306,1.8458,,-1.3806,1.0
-2.4561,,6.4534,,1.0
-4.4775,-13.0303,,-3.0345,1.0
-4.1958,-8.1819,12.1291,-1.6017,1.0
-3.38,,2.5325,0.71808,1.0
,3.6026,-1.4166,-2.8948,1.0
-0.77688,0.13036,,-0.35389,1.0
-2.7083,-6.8266,,0.59007,1.0
-4.5531,-12.5854,15.4417,-1.4983,1.0
-3.8894,,9.8208,0.47498,1.0
-2.5084,-0.22763,1.488,1.2069,1.0
-2.1652,,-2.4132,-2.4241,1.0
-1.8974,3.5074,-1.7842,,1.0
-0.62043,0.5587,-0.38587,-0.66423,1.0
-1.8387,-6.301,,0.19567,1.0
-3.0,-9.1566,9.5766,,1.0
,-6.1603,5.606,,1.0
-1.005,,-0.2462,0.45688,1.0
,3.257,-3.6778,-3.2944,1.0
-6.651,6.7934,,-7.5887,1.0
-2.5463,,-0.83228,-3.0358,1.0
,-1.432,2.1144,0.42067,1.0
,-9.0407,8.862,,1.0
-3.9411,-12.8792,13.0597,-3.3125,1.0
-2.1241,-6.8969,5.5992,-0.47156,1.0
-0.74324,,,0.23317,1.0
,3.7412,-4.5415,-4.2526,1.0
,4.9166,-0.49212,,1.0
,,1.692,-0.43018,1.0
-2.5526,-7.3625,,-0.66811,1.0
-3.0986,-10.4602,8.9717,-2.3427,1.0
-0.89809,-4.4862,2.2009,0.50731,1.0
0.56232,,-2.2726,-0.0060486,1.0
0.53936,3.8944,-4.8166,-4.3418,1.0
,,0.029699,-7.3987,1.0
-3.3553,,,-0.37846,1.0
-2.7908,-5.7133,5.953,0.45946,1.0
-1.9983,-6.6072,4.8254,-0.41984,1.0
0.15423,0.11794,-1.6823,0.59524,1.0
,4.0744,-4.7635,,1.0
,4.8856,-5.149,,1.0
-6.4247,9.5311,,-6.8517,1.0
-3.9933,2.6218,0.62863,,1.0
-2.659,-1.6058,1.3647,0.16464,1.0
-1.4094,-2.1252,,-0.19225,1.0
0.11032,,,-0.65259,1.0
,3.644,-4.0746,-1.9909,1.0
-0.76794,3.4598,-3.4405,-3.4276,1.0
-3.9698,3.6812,-0.60008,-4.0133,1.0
-7.0364,9.2931,0.16594,,1.0
-4.9447,3.3005,1.063,-1.444,1.0
-3.5933,,0.7126,-0.3332,1.0
-2.1674,0.12415,,,1.0
-0.9607,2.6963,-3.1226,,1.0
,2.1996,-2.5862,-1.2759,1.0
-2.3277,,-0.82114,-1.2862,1.0
-3.7244,1.9037,-0.035421,-2.5095,1.0
-2.5724,-0.95602,2.7073,,1.0
-3.9297,,10.0958,,1.0
-5.2943,-5.1463,10.3332,-1.1181,1.0
-3.8953,4.0392,-0.3019,-2.1836,1.0
-1.2244,1.7485,-1.4801,,1.0
-2.6406,-4.4159,5.983,-0.13924,1.0
-4.6338,-12.7509,16.7166,,1.0
-4.2887,,11.8387,-1.8978,1.0
-3.3458,-0.50491,2.6328,0.53705,1.0
,3.3357,-1.3455,,1.0
0.55939,-0.3104,0.18307,0.44653,1.0
,-7.3191,,1.2289,1.0
-3.506,,,-0.75216,1.0
,-8.273,10.2646,,1.0
-1.6029,-0.38903,,1.9103,1.0
-1.2667,2.8183,-2.426,-1.8862,1.0
-0.49281,3.0605,,-2.834,1.0
0.66365,-0.045533,-0.18794,,1.0
-0.72068,-6.7583,5.8408,0.62369,1.0
,,9.682,-0.12889,1.0
-0.97325,-6.4168,5.6026,,1.0
-0.025314,-0.17383,-0.11339,,1.0
0.062525,2.9301,-3.5467,-2.6737,1.0
-5.525,6.3258,0.89768,-6.6241,1.0
-1.2943,,-0.84085,,1.0
-0.24037,,,1.2418,1.0
-1.3968,-9.6698,9.4652,-0.34872,1.0
-2.9672,-13.2869,13.4727,-2.6271,1.0
-1.1005,-7.2508,6.0139,0.36895,1.0
0.22432,-0.52147,,1.2017,1.0
0.90407,3.3708,,,1.0
-2.8619,,,-4.2629,1.0
-1.0833,-0.31247,1.2815,0.41291,1.0
-1.5681,-7.2446,6.5537,-0.1276,1.0
-2.0545,-10.8679,,,1.0
0.2346,-4.5152,2.1195,1.4448,1.0
1.581,0.86909,-2.3138,0.82412,1.0
1.5514,3.8013,-4.9143,-3.7483,1.0
-4.1479,7.1225,-0.083404,,1.0
-2.2625,,2.8127,0.48662,1.0
-1.7479,-5.823,5.8699,,1.0
-0.95923,-6.7128,4.9857,0.32886,1.0
,0.23589,,1.3258,1.0
2.2279,,,-2.1112,1.0
1.2572,4.8731,-5.2861,-5.8741,1.0
-5.3857,9.1214,-0.41929,-5.9181,1.0
,2.3445,0.52667,,1.0
,,1.7082,0.9017,1.0
-0.21888,-2.2038,-0.0954,0.56421,1.0
,,-3.3111,0.065071,1.0
,3.4288,-4.0309,-1.4259,1.0
0.11592,3.2219,,-2.8457,1.0
-3.3924,3.3564,,-3.5233,1.0
-6.1632,8.7096,-0.21621,,1.0
-4.0786,2.9239,0.87026,,1.0
-2.5899,-0.3911,0.93452,0.42972,1.0
-1.0116,-0.19038,-0.90597,,1.0
0.066129,2.4914,-2.9401,-0.62156,1.0
,,-2.4697,-0.80518,1.0
-1.5732,1.0636,-0.71232,-0.8388,1.0
-2.1668,1.5933,0.045122,,1.0
,-1.4237,2.9241,,1.0
,-6.63,10.4849,-0.42113,1.0
-4.5046,-5.8126,10.8867,-0.52846,1.0
-2.41,3.7433,-0.40215,-1.2953,1.0
0.40614,1.3492,,,1.0
-1.3887,,6.4774,,1.0
-3.7503,-13.4586,17.5932,-2.7771,1.0
,-8.3827,,-1.2823,1.0
,-0.65804,2.6842,1.1952,1.0
